 SIMULATION OUTPUT
 =================

 TIME HISTORIES FOR RUN OF  2/ 9/24   AT 17:20:38  
 TITLED: Naba HEP                                                                        



     TIME    NODE_NO_1      NODE_NO_1      NODE_NO_2      NODE_NO_2      NODE_NO_3      NODE_NO_3      NODE_NO_4      NODE_NO_4         TIME    NODE_NO_5      NODE_NO_5      NODE_NO_6      NODE_NO_6      NODE_NO_7      NODE_NO_7      NODE_NO_8      NODE_NO_8         TIME    NODE_NO_9      NODE_NO_9      NODE_NO_10     NODE_NO_10     NODE_NO_11     NODE_NO_11     NODE_NO_12     NODE_NO_12        TIME    NODE_NO_13     NODE_NO_13     NODE_NO_14     NODE_NO_14     NODE_NO_15     NODE_NO_15     NODE_NO_16     NODE_NO_16        TIME    NODE_NO_17     NODE_NO_17     NODE_NO_18     NODE_NO_18     NODE_NO_19     NODE_NO_19     NODE_NO_20     NODE_NO_20        TIME    NODE_NO_21     NODE_NO_21     NODE_NO_22     NODE_NO_22     NODE_NO_23     NODE_NO_23     NODE_NO_24     ELEMENT_ST  
              DISCHARGE     ENERGY_ELEV.    DISCHARGE     ENERGY_ELEV.    DISCHARGE     ENERGY_ELEV.    DISCHARGE     ENERGY_ELEV.               DISCHARGE     ENERGY_ELEV.    DISCHARGE     ENERGY_ELEV.    DISCHARGE     ENERGY_ELEV.    DISCHARGE     ENERGY_ELEV.               DISCHARGE     ENERGY_ELEV.    DISCHARGE     ENERGY_ELEV.    DISCHARGE     ENERGY_ELEV.    DISCHARGE     ENERGY_ELEV.               DISCHARGE     ENERGY_ELEV.    DISCHARGE     ENERGY_ELEV.    DISCHARGE     ENERGY_ELEV.    DISCHARGE     ENERGY_ELEV.               DISCHARGE     ENERGY_ELEV.    DISCHARGE     ENERGY_ELEV.    DISCHARGE     ENERGY_ELEV.    DISCHARGE     ENERGY_ELEV.               DISCHARGE     ENERGY_ELEV.    DISCHARGE     ENERGY_ELEV.    DISCHARGE     ENERGY_ELEV.    DISCHARGE      W.S._ELEV. 
    (SEC.)      (CFS)          (FEET)         (CFS)          (FEET)         (CFS)          (FEET)         (CFS)          (FEET)        (SEC.)      (CFS)          (FEET)         (CFS)          (FEET)         (CFS)          (FEET)         (CFS)          (FEET)        (SEC.)      (CFS)          (FEET)         (CFS)          (FEET)         (CFS)          (FEET)         (CFS)          (FEET)        (SEC.)      (CFS)          (FEET)         (CFS)          (FEET)         (CFS)          (FEET)         (CFS)          (FEET)        (SEC.)      (CFS)          (FEET)         (CFS)          (FEET)         (CFS)          (FEET)         (CFS)          (FEET)        (SEC.)      (CFS)          (FEET)         (CFS)          (FEET)         (CFS)          (FEET)         (CFS)          (FEET) 
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
      .00            .0             .0         2563.2             .0         2563.2             .0         2563.2             .0         .00        2563.2             .0         2563.2             .0         2563.2             .0         2563.2             .0         .00        2563.2             .0         2563.2             .0         2563.2             .0         2563.2             .0         .00        2563.2             .0         2563.2             .0         2563.2             .0         2563.2             .0         .00        2563.2             .0         2563.2             .0         2563.2             .0         2563.2             .0         .00        2563.2             .0         2563.2             .0         2563.2             .0         2563.2             .0
      .00
      .35            .3            2.2         2563.5            2.0         2563.4            1.2         2563.2             .0         .35        2563.2             .0         2563.2             .0         2563.2             .0         2563.2             .0         .35        2563.2             .0         2563.2             .0         2563.2             .0         2563.2             .0         .35        2563.2             .0         2563.2             .0         2563.2             .0         2563.2             .0         .35        2563.2             .0         2563.2             .0         2563.2             .0         2563.2             .0         .35        2563.2             .0         2563.2             .0         2563.2             .0         2563.2             .0
      .35
      .70            .7            8.6         2564.0            8.3         2563.9            7.2         2563.2             .1         .70        2563.2             .1         2563.2             .1         2563.2             .0         2563.2             .0         .70        2563.2             .0         2563.2             .0         2563.2             .0         2563.2             .0         .70        2563.2             .0         2563.2             .0         2563.2             .0         2563.2             .0         .70        2563.2             .0         2563.2             .0         2563.2             .0         2563.2             .0         .70        2563.2             .0         2563.2             .0         2563.2             .0         2563.2             .0
      .70
     1.05           1.0           19.2         2564.4           19.1         2564.3           18.6         2563.2             .2        1.05        2563.2             .2         2563.2             .2         2563.2             .1         2563.2             .1        1.05        2563.2             .0         2563.2             .0         2563.2             .0         2563.2             .0        1.05        2563.2             .0         2563.2            -.1         2563.2            -.1         2563.2             .0        1.05        2563.2             .0         2563.2             .0         2563.2             .0         2563.2             .0        1.05        2563.2             .0         2563.2             .0         2563.2             .0         2563.2             .0
